datetime_ist,station_name,temperature,humidity,pressure,rainfall,wind_speed,wind_direction,wind_to_direction,wind_u,wind_v,data_status,source_note
2026-01-01 00:00:00,Byrnihat_center,16.9,86.21,1006.08,0.0,1.554,238.3,58.3,1.3225,0.8156,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 01:00:00,Byrnihat_center,16.18,84.65,1002.88,0.0,4.458,265.8,85.8,4.4464,0.3232,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 02:00:00,Byrnihat_center,16.79,81.92,1005.12,0.0,1.235,274.1,94.1,1.2315,-0.0876,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 03:00:00,Byrnihat_center,16.87,84.61,1005.16,0.0,2.466,291.3,111.3,2.2979,-0.896,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 04:00:00,Byrnihat_center,18.52,80.89,1005.48,0.0,2.594,259.8,79.8,2.553,0.4574,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 05:00:00,Byrnihat_center,16.82,77.64,1003.79,0.0,4.87,284.9,104.9,4.7074,-1.2482,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 06:00:00,Byrnihat_center,18.96,80.11,1003.64,0.0,1.999,261.6,81.6,1.9778,0.2906,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 07:00:00,Byrnihat_center,22.9,83.5,1004.55,0.0,4.424,261.1,81.1,4.3706,0.6882,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 08:00:00,Byrnihat_center,23.05,76.66,1007.4,0.0,0.734,242.9,62.9,0.6539,0.3345,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 09:00:00,Byrnihat_center,25.71,78.96,1005.2,0.0,1.498,265.9,85.9,1.4943,0.1068,synthetic_proxy_missing_source,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
