first_collection_time_utc,target_city,station_code,station_name,station_latitude,station_longitude,aqicn_idx,api_time,aqi,pm25,pm10,no2,so2,co,o3,nh3,no,nox,temperature,humidity,pressure,wind,wind_direction_proxy,wind_to_direction_proxy,wind_u_proxy,wind_v_proxy,data_status,intended_use,source_note
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100000,2026-01-01 00:00:00,156.8,69.7,132.11,13.62,9.5,0.501,11.75,3.95,1.6,15.21,17.25,77.85,1008.17,2.8,228.6,48.6,2.101,1.852,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100001,2026-01-01 01:00:00,179.3,79.69,146.48,11.56,6.43,,13.7,3.62,0.03,9.99,19.11,72.2,1007.08,1.32,222.4,42.4,0.893,0.977,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100002,2026-01-01 02:00:00,169.8,75.46,134.39,12.38,7.66,0.419,11.58,3.76,1.5,12.01,18.61,79.57,1007.87,3.32,290.4,110.4,3.112,-1.157,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100003,2026-01-01 03:00:00,129.3,57.47,121.01,11.9,4.49,0.42,9.64,4.49,0.5,10.88,19.08,80.83,1006.92,6.1,249.6,69.6,5.714,2.124,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100004,2026-01-01 04:00:00,142.4,63.29,110.06,13.9,6.13,0.396,7.41,4.05,1.09,13.69,21.73,71.22,1008.62,5.74,251.0,71.0,5.433,1.867,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100005,2026-01-01 05:00:00,205.1,91.14,151.03,15.01,7.28,0.563,9.95,4.13,2.67,17.8,20.99,75.48,1004.46,1.59,293.1,113.1,1.462,-0.623,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100006,2026-01-01 06:00:00,134.1,59.61,108.87,13.86,6.19,0.438,7.98,3.01,0.03,15.02,21.77,69.74,1006.38,1.78,261.6,81.6,1.765,0.261,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100007,2026-01-01 07:00:00,170.8,75.93,131.08,19.4,6.36,0.641,23.7,3.27,,,23.12,81.66,1002.53,3.64,272.2,92.2,3.638,-0.14,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100008,2026-01-01 08:00:00,116.1,51.59,109.12,20.55,8.8,0.749,23.68,2.63,5.26,25.57,24.31,67.31,1009.06,7.62,273.2,93.2,7.606,-0.43,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Guwahati,PROXY_GUWAHATI_AQ,"Proxy AQ station, Guwahati",26.181742,91.78063,100009,2026-01-01 09:00:00,194.9,86.6,143.1,18.86,9.94,0.607,33.39,4.32,3.56,23.24,26.68,81.42,1005.99,1.21,242.5,62.5,1.07,0.557,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
