first_collection_time_utc,target_city,station_code,station_name,station_latitude,station_longitude,aqicn_idx,api_time,aqi,pm25,pm10,no2,so2,co,o3,nh3,no,nox,temperature,humidity,pressure,wind,wind_direction_proxy,wind_to_direction_proxy,wind_u_proxy,wind_v_proxy,data_status,intended_use,source_note
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100000,2026-01-01 00:00:00,291.3,129.45,217.89,12.87,14.17,0.283,11.41,3.65,1.35,13.25,17.96,70.0,1008.85,1.91,242.7,62.7,1.699,0.877,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100001,2026-01-01 01:00:00,222.3,98.79,181.29,13.85,13.75,0.331,8.08,3.93,2.03,14.84,16.55,81.74,1009.05,6.0,249.9,69.9,5.633,2.066,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100002,2026-01-01 02:00:00,281.4,125.05,205.68,13.25,12.76,0.552,11.86,3.76,0.65,13.56,15.05,85.4,1004.76,1.56,307.0,127.0,1.248,-0.941,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100003,2026-01-01 03:00:00,293.0,130.21,216.94,12.38,11.88,0.512,10.31,3.87,2.16,,17.34,81.52,1003.3,2.07,235.1,55.1,1.701,1.186,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100004,2026-01-01 04:00:00,200.4,89.06,180.13,11.44,11.26,0.303,13.3,,1.07,11.84,20.13,72.51,1005.17,7.5,266.8,86.8,7.489,0.415,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100005,2026-01-01 05:00:00,283.0,125.76,228.36,,14.22,0.455,7.98,3.8,1.81,15.6,21.27,79.39,1005.91,2.07,234.5,54.5,1.682,1.201,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100006,2026-01-01 06:00:00,260.8,115.92,205.29,10.94,13.51,0.414,10.11,5.02,0.77,11.91,,87.59,1005.8,2.9,235.9,55.9,2.4,1.625,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100007,2026-01-01 07:00:00,249.0,110.66,197.59,15.35,13.13,0.349,15.81,3.52,,17.94,20.87,71.17,1006.32,2.7,265.2,85.2,2.692,0.226,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100008,2026-01-01 08:00:00,272.6,121.14,214.62,18.59,12.56,0.549,22.61,3.78,2.22,20.58,25.74,72.15,1002.97,2.18,223.6,43.6,1.504,1.578,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,100009,2026-01-01 09:00:00,306.3,136.11,233.09,13.5,12.97,0.577,31.01,4.23,5.01,19.8,25.47,75.15,1003.95,1.15,240.9,60.9,1.007,0.561,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
