first_collection_time_utc,target_city,station_code,station_name,station_latitude,station_longitude,aqicn_idx,api_time,aqi,pm25,pm10,no2,so2,co,o3,nh3,no,nox,temperature,humidity,pressure,wind,wind_direction_proxy,wind_to_direction_proxy,wind_u_proxy,wind_v_proxy,data_status,intended_use,source_note
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100000,2026-01-01 00:00:00,76.6,34.02,54.83,11.05,4.31,0.395,11.59,3.95,1.07,11.41,10.97,95.25,848.87,4.5,244.1,64.1,4.052,1.965,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100001,2026-01-01 01:00:00,95.9,42.63,75.01,7.14,1.3,0.278,8.79,2.17,1.89,9.74,8.09,88.48,852.25,2.49,218.0,38.0,1.531,1.961,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100002,2026-01-01 02:00:00,64.9,28.83,58.26,10.9,,0.324,10.66,3.96,0.42,12.28,10.27,89.05,851.33,,219.0,39.0,2.101,2.594,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100003,2026-01-01 03:00:00,92.9,41.29,67.84,5.06,3.0,0.445,7.44,3.15,1.3,7.09,10.61,92.37,848.08,2.67,227.1,47.1,1.957,1.818,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100004,2026-01-01 04:00:00,93.4,41.53,77.88,9.81,3.93,0.213,13.36,2.47,2.16,11.04,12.53,85.38,850.62,1.66,272.5,92.5,1.655,-0.072,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100005,2026-01-01 05:00:00,91.6,40.7,60.52,11.26,,0.354,11.31,3.0,0.7,11.26,15.75,83.06,848.77,3.0,231.3,51.3,2.339,1.871,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100006,2026-01-01 06:00:00,82.2,36.52,75.24,10.44,0.81,0.365,9.89,2.84,0.22,8.72,13.13,80.81,849.2,3.39,249.8,69.8,3.185,1.172,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100007,2026-01-01 07:00:00,62.0,27.57,53.1,10.55,2.19,0.392,20.33,2.81,2.32,12.69,15.69,74.47,850.31,3.69,222.7,42.7,2.503,2.714,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100008,2026-01-01 08:00:00,80.0,35.55,55.65,12.42,3.32,0.377,22.8,2.62,2.3,15.48,16.22,84.9,850.56,0.29,263.9,83.9,0.29,0.031,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
2026-06-28T00:00:00+00:00,Shillong,PROXY_SHILLONG_AQ,"Proxy AQ station, Shillong",25.5586,91.8985,100009,2026-01-01 09:00:00,65.2,28.96,50.91,12.12,3.49,0.298,30.77,1.95,2.25,15.12,17.5,81.42,851.15,5.65,237.1,57.1,4.738,3.069,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.
