datetime_ist,station_name,location_type,latitude,longitude,elevation_m,distance_km_from_byrnihat,temperature,humidity,pressure,rainfall,wind_speed,wind_direction,wind_to_direction,wind_u,wind_v,boundary_layer_height_proxy_m,ventilation_index_proxy,data_status,intended_use,source_note
2026-01-01 00:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,16.9,86.21,1006.08,0.0,1.554,238.3,58.3,1.3225,0.8156,197.6,307.0,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 01:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,16.18,84.65,1002.88,0.0,4.458,265.8,85.8,4.4464,0.3232,80.0,356.6,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 02:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,16.79,81.92,1005.12,0.0,1.235,274.1,94.1,1.2315,-0.0876,196.4,242.5,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 03:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,16.87,84.61,1005.16,0.0,2.466,291.3,111.3,2.2979,-0.896,168.0,414.3,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 04:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,18.52,80.89,1005.48,0.0,2.594,259.8,79.8,2.553,0.4574,183.1,474.9,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 05:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,16.82,77.64,1003.79,0.0,4.87,284.9,104.9,4.7074,-1.2482,177.1,862.3,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 06:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,18.96,80.11,1003.64,0.0,1.999,261.6,81.6,1.9778,0.2906,237.8,475.4,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 07:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,22.9,83.5,1004.55,0.0,4.424,261.1,81.1,4.3706,0.6882,266.6,1179.6,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 08:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,23.05,76.66,1007.4,0.0,0.734,242.9,62.9,0.6539,0.3345,205.3,150.8,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 09:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,25.71,78.96,1005.2,0.0,1.498,265.9,85.9,1.4943,0.1068,381.4,571.4,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 10:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,25.28,73.51,1002.66,0.0,2.517,267.6,87.6,2.5144,0.1065,399.0,1004.2,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 11:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,26.33,73.47,1006.11,0.0,0.751,245.9,65.9,0.6857,0.3071,479.2,360.0,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 12:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,27.46,80.39,1006.4,0.0,5.948,226.4,46.4,4.3082,4.1006,528.6,3144.2,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
2026-01-01 13:00:00,Byrnihat_center,core,26.05374,91.86796,95,0.0,27.43,69.15,1006.78,0.0,0.15,250.4,70.4,0.1413,0.0503,556.3,83.4,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic meteorological proxy around Byrnihat; replace with NASA POWER/IMD or observed station data before final scientific use.
