datetime,api_time,target_city,station_code,station_name,station_latitude,station_longitude,weather_station_name,weather_latitude,weather_longitude,weather_elevation_m,distance_km_from_byrnihat,pm25,pm10,aqi,so2,co,no2,o3,nh3,no,nox,met_temperature,met_humidity,met_pressure,met_rainfall,met_wind_speed,met_wind_direction,met_wind_to_direction,met_wind_u,met_wind_v,boundary_layer_height_proxy_m,ventilation_index_proxy,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,transport_direction_deg_target,transport_direction_sector_target,pm25_next_hour_target,pm10_next_hour_target,aqi_next_hour_target,pm25_change_next_hour_target,pm10_change_next_hour_target,data_status,intended_use,source_note,first_collection_time_utc,aqicn_idx,temperature,humidity,pressure,wind,wind_direction_proxy,wind_to_direction_proxy,wind_u_proxy,wind_v_proxy,location_type
2026-01-01 00:00:00,2026-01-01 00:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,129.45,217.89,291.3,14.17,0.283,12.87,11.41,3.65,1.35,13.25,16.9,86.21,1006.08,0.0,1.554,238.3,58.3,1.3225,0.8156,197.6,307.0,0,1,1,3,0,0.0,1.0,0.49999999999999994,0.8660254037844387,58.3,E_NE,98.79,181.29,222.3,-30.659999999999982,-36.599999999999994,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100000,17.96,70.0,1008.85,1.91,242.7,62.7,1.699,0.877,core
2026-01-01 01:00:00,2026-01-01 01:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,98.79,181.29,222.3,13.75,0.331,13.85,8.08,3.93,2.03,14.84,16.18,84.65,1002.88,0.0,4.458,265.8,85.8,4.4464,0.3232,80.0,356.6,1,1,1,3,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,85.8,E_NE,125.05,205.68,281.4,26.25999999999999,24.390000000000015,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100001,16.55,81.74,1009.05,6.0,249.9,69.9,5.633,2.066,core
2026-01-01 02:00:00,2026-01-01 02:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,125.05,205.68,281.4,12.76,0.552,13.25,11.86,3.76,0.65,13.56,16.79,81.92,1005.12,0.0,1.235,274.1,94.1,1.2315,-0.0876,196.4,242.5,2,1,1,3,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,94.1,E_SE,130.21,216.94,293.0,5.160000000000011,11.259999999999991,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100002,15.05,85.4,1004.76,1.56,307.0,127.0,1.248,-0.941,core
2026-01-01 03:00:00,2026-01-01 03:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,130.21,216.94,293.0,11.88,0.512,12.38,10.31,3.87,2.16,,16.87,84.61,1005.16,0.0,2.466,291.3,111.3,2.2979,-0.896,168.0,414.3,3,1,1,3,0,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,111.3,E_SE,89.06,180.13,200.4,-41.150000000000006,-36.81,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100003,17.34,81.52,1003.3,2.07,235.1,55.1,1.701,1.186,core
2026-01-01 04:00:00,2026-01-01 04:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,89.06,180.13,200.4,11.26,0.303,11.44,13.3,,1.07,11.84,18.52,80.89,1005.48,0.0,2.594,259.8,79.8,2.553,0.4574,183.1,474.9,4,1,1,3,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,79.8,E_NE,125.76,228.36,283.0,36.7,48.23000000000002,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100004,20.13,72.51,1005.17,7.5,266.8,86.8,7.489,0.415,core
2026-01-01 05:00:00,2026-01-01 05:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,125.76,228.36,283.0,14.22,0.455,,7.98,3.8,1.81,15.6,16.82,77.64,1003.79,0.0,4.87,284.9,104.9,4.7074,-1.2482,177.1,862.3,5,1,1,3,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,104.9,E_SE,115.92,205.29,260.8,-9.840000000000003,-23.07000000000002,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100005,21.27,79.39,1005.91,2.07,234.5,54.5,1.682,1.201,core
2026-01-01 06:00:00,2026-01-01 06:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,115.92,205.29,260.8,13.51,0.414,10.94,10.11,5.02,0.77,11.91,18.96,80.11,1003.64,0.0,1.999,261.6,81.6,1.9778,0.2906,237.8,475.4,6,1,1,3,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,81.6,E_NE,110.66,197.59,249.0,-5.260000000000005,-7.699999999999989,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100006,,87.59,1005.8,2.9,235.9,55.9,2.4,1.625,core
2026-01-01 07:00:00,2026-01-01 07:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,110.66,197.59,249.0,13.13,0.349,15.35,15.81,3.52,,17.94,22.9,83.5,1004.55,0.0,4.424,261.1,81.1,4.3706,0.6882,266.6,1179.6,7,1,1,3,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,81.1,E_NE,121.14,214.62,272.6,10.480000000000004,17.03,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100007,20.87,71.17,1006.32,2.7,265.2,85.2,2.692,0.226,core
2026-01-01 08:00:00,2026-01-01 08:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,121.14,214.62,272.6,12.56,0.549,18.59,22.61,3.78,2.22,20.58,23.05,76.66,1007.4,0.0,0.734,242.9,62.9,0.6539,0.3345,205.3,150.8,8,1,1,3,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,62.9,E_NE,136.11,233.09,306.3,14.970000000000013,18.47,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100008,25.74,72.15,1002.97,2.18,223.6,43.6,1.504,1.578,core
2026-01-01 09:00:00,2026-01-01 09:00:00,Byrnihat,PROXY_BYRNIHAT_AQ,"Proxy AQ station, Byrnihat",26.05374,91.86796,Byrnihat_center,26.05374,91.86796,95,0.0,136.11,233.09,306.3,12.97,0.577,13.5,31.01,4.23,5.01,19.8,25.71,78.96,1005.2,0.0,1.498,265.9,85.9,1.4943,0.1068,381.4,571.4,9,1,1,3,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,85.9,E_NE,130.79,227.6,294.3,-5.320000000000022,-5.490000000000009,synthetic_proxy_missing_source,ml_training_graph_testing_pipeline_debugging_only,Synthetic proxy dataset created because live/official collection is incomplete; do not use for final scientific claims.,2026-06-28T00:00:00+00:00,100009,25.47,75.15,1003.95,1.15,240.9,60.9,1.007,0.561,core
